ExperimentTitle,SampleName,SampleDescription,SequencingDate1,FileName,FileLocation
Illumina PE sequencing of asp201 leaves,Mature leaves from asp201 on the Umea University campus in Umea Sweden,Mature leaves from asp201 on the Umea University campus in Umea Sweden,2015-04-08T10:00:00,1_150313_AH22CGBCXX_P1339_1001_1.fastq.gz,/mnt/picea/storage/data/aspseq/AspenGenomes/DNA-Seq/asp201/HiSeq_2x_300/P1339_1001/150313_AH22CGBCXX
Illumina PE sequencing of asp201 leaves,Mature leaves from asp201 on the Umea University campus in Umea Sweden,Mature leaves from asp201 on the Umea University campus in Umea Sweden,2015-04-08T10:00:00,1_150313_AH22CGBCXX_P1339_1001_2.fastq.gz,/mnt/picea/storage/data/aspseq/AspenGenomes/DNA-Seq/asp201/HiSeq_2x_300/P1339_1001/150313_AH22CGBCXX
Illumina PE sequencing of asp201 leaves,Mature leaves from asp201 on the Umea University campus in Umea Sweden,Mature leaves from asp201 on the Umea University campus in Umea Sweden,2015-04-08T10:00:00,2_150313_AH22CGBCXX_P1339_1001_1.fastq.gz,/mnt/picea/storage/data/aspseq/AspenGenomes/DNA-Seq/asp201/HiSeq_2x_300/P1339_1001/150313_AH22CGBCXX
Illumina PE sequencing of asp201 leaves,Mature leaves from asp201 on the Umea University campus in Umea Sweden,Mature leaves from asp201 on the Umea University campus in Umea Sweden,2015-04-08T10:00:00,2_150313_AH22CGBCXX_P1339_1001_2.fastq.gz,/mnt/picea/storage/data/aspseq/AspenGenomes/DNA-Seq/asp201/HiSeq_2x_300/P1339_1001/150313_AH22CGBCXX
